                    Element nb,             Integration Point,                          Time,                        Stress,                  Total Strain,          Visco-plastic Strain,Equivalent viscoplastic Strain,                   Back Stress,                  Yield Stress,
                             1,                             2,                8.00000000E-01,                3.48323421E+00,                3.99202127E-03,                5.08787062E-04,                5.08787062E-04,                0.00000000E+00,                1.02119946E+00,
                             1,                             2,                1.00000000E+00,                4.16561739E+00,                4.98754151E-03,                8.21924118E-04,                8.21924118E-04,                0.00000000E+00,                1.02119946E+00,
                             1,                             1,                8.00000000E-01,                3.48323421E+00,                3.99202127E-03,                5.08787062E-04,                5.08787062E-04,                0.00000000E+00,                1.02119946E+00,
                             1,                             1,                1.00000000E+00,                4.16561739E+00,                4.98754151E-03,                8.21924118E-04,                8.21924118E-04,                0.00000000E+00,                1.02119946E+00,
                             1,                             2,                8.00000000E-01,                3.48323421E+00,                3.99202127E-03,                5.08787062E-04,                5.08787062E-04,                0.00000000E+00,                1.02119946E+00,
                             1,                             2,                1.00000000E+00,                4.16561739E+00,                4.98754151E-03,                8.21924118E-04,                8.21924118E-04,                0.00000000E+00,                1.02119946E+00,
                             1,                             1,                1.00000000E+00,                4.16561739E+00,                4.98754151E-03,                8.21924118E-04,                8.21924118E-04,                0.00000000E+00,                1.03424684E+00,
                             1,                             1,                1.20000000E+00,                4.78648108E+00,                5.98207168E-03,                1.19559060E-03,                1.19559060E-03,                0.00000000E+00,                1.03424684E+00,
                             1,                             2,                1.00000000E+00,                4.16561739E+00,                4.98754151E-03,                8.21924118E-04,                8.21924118E-04,                0.00000000E+00,                1.03424684E+00,
                             1,                             2,                1.20000000E+00,                4.78648108E+00,                5.98207168E-03,                1.19559060E-03,                1.19559060E-03,                0.00000000E+00,                1.03424684E+00,
                             1,                             1,                1.00000000E+00,                4.16561739E+00,                4.98754151E-03,                8.21924118E-04,                8.21924118E-04,                0.00000000E+00,                1.03424684E+00,
                             1,                             1,                1.20000000E+00,                4.78648108E+00,                5.98207168E-03,                1.19559060E-03,                1.19559060E-03,                0.00000000E+00,                1.03424684E+00,
                             1,                             2,                1.00000000E+00,                4.16561739E+00,                4.98754151E-03,                8.21924118E-04,                8.21924118E-04,                0.00000000E+00,                1.03424684E+00,
                             1,                             2,                1.20000000E+00,                4.78648108E+00,                5.98207168E-03,                1.19559060E-03,                1.19559060E-03,                0.00000000E+00,                1.03424684E+00,
                             1,                             1,                1.20000000E+00,                4.78648108E+00,                5.98207168E-03,                1.19559060E-03,                1.19559060E-03,                0.00000000E+00,                1.04981627E+00,
                             1,                             1,                1.40000000E+00,                5.35162704E+00,                6.97561374E-03,                1.62398669E-03,                1.62398669E-03,                0.00000000E+00,                1.04981627E+00,
                             1,                             2,                1.20000000E+00,                4.78648108E+00,                5.98207168E-03,                1.19559060E-03,                1.19559060E-03,                0.00000000E+00,                1.04981627E+00,
                             1,                             2,                1.40000000E+00,                5.35162704E+00,                6.97561374E-03,                1.62398669E-03,                1.62398669E-03,                0.00000000E+00,                1.04981627E+00,
                             1,                             1,                1.20000000E+00,                4.78648108E+00,                5.98207168E-03,                1.19559060E-03,                1.19559060E-03,                0.00000000E+00,                1.04981627E+00,
                             1,                             1,                1.40000000E+00,                5.35162704E+00,                6.97561374E-03,                1.62398669E-03,                1.62398669E-03,                0.00000000E+00,                1.04981627E+00,
                             1,                             2,                1.20000000E+00,                4.78648108E+00,                5.98207168E-03,                1.19559060E-03,                1.19559060E-03,                0.00000000E+00,                1.04981627E+00,
                             1,                             2,                1.40000000E+00,                5.35162704E+00,                6.97561374E-03,                1.62398669E-03,                1.62398669E-03,                0.00000000E+00,                1.04981627E+00,
                             1,                             1,                1.40000000E+00,                5.35162704E+00,                6.97561374E-03,                1.62398669E-03,                1.62398669E-03,                0.00000000E+00,                1.06766611E+00,
                             1,                             1,                1.60000000E+00,                5.86630973E+00,                7.96816965E-03,                2.10185992E-03,                2.10185992E-03,                0.00000000E+00,                1.06766611E+00,
                             1,                             2,                1.40000000E+00,                5.35162704E+00,                6.97561374E-03,                1.62398669E-03,                1.62398669E-03,                0.00000000E+00,                1.06766611E+00,
                             1,                             2,                1.60000000E+00,                5.86630973E+00,                7.96816965E-03,                2.10185992E-03,                2.10185992E-03,                0.00000000E+00,                1.06766611E+00,
                             1,                             1,                1.40000000E+00,                5.35162704E+00,                6.97561374E-03,                1.62398669E-03,                1.62398669E-03,                0.00000000E+00,                1.06766611E+00,
                             1,                             1,                1.60000000E+00,                5.86630973E+00,                7.96816965E-03,                2.10185992E-03,                2.10185992E-03,                0.00000000E+00,                1.06766611E+00,
                             1,                             2,                1.40000000E+00,                5.35162704E+00,                6.97561374E-03,                1.62398669E-03,                1.62398669E-03,                0.00000000E+00,                1.06766611E+00,
                             1,                             2,                1.60000000E+00,                5.86630973E+00,                7.96816965E-03,                2.10185992E-03,                2.10185992E-03,                0.00000000E+00,                1.06766611E+00,
                             1,                             1,                1.60000000E+00,                5.86630973E+00,                7.96816965E-03,                2.10185992E-03,                2.10185992E-03,                0.00000000E+00,                1.08757750E+00,
                             1,                             1,                1.80000000E+00,                6.33528789E+00,                8.95974137E-03,                2.62445348E-03,                2.62445348E-03,                0.00000000E+00,                1.08757750E+00,
                             1,                             2,                1.60000000E+00,                5.86630973E+00,                7.96816965E-03,                2.10185992E-03,                2.10185992E-03,                0.00000000E+00,                1.08757750E+00,
                             1,                             2,                1.80000000E+00,                6.33528789E+00,                8.95974137E-03,                2.62445348E-03,                2.62445348E-03,                0.00000000E+00,                1.08757750E+00,
                             1,                             1,                1.60000000E+00,                5.86630973E+00,                7.96816965E-03,                2.10185992E-03,                2.10185992E-03,                0.00000000E+00,                1.08757750E+00,
                             1,                             1,                1.80000000E+00,                6.33528789E+00,                8.95974137E-03,                2.62445348E-03,                2.62445348E-03,                0.00000000E+00,                1.08757750E+00,
                             1,                             2,                1.60000000E+00,                5.86630973E+00,                7.96816965E-03,                2.10185992E-03,                2.10185992E-03,                0.00000000E+00,                1.08757750E+00,
                             1,                             2,                1.80000000E+00,                6.33528789E+00,                8.95974137E-03,                2.62445348E-03,                2.62445348E-03,                0.00000000E+00,                1.08757750E+00,
                             1,                             1,                1.80000000E+00,                6.33528789E+00,                8.95974137E-03,                2.62445348E-03,                2.62445348E-03,                0.00000000E+00,                1.10935223E+00,
                             1,                             1,                2.00000000E+00,                6.76287132E+00,                9.95033085E-03,                3.18745953E-03,                3.18745953E-03,                0.00000000E+00,                1.10935223E+00,
                             1,                             2,                1.80000000E+00,                6.33528789E+00,                8.95974137E-03,                2.62445348E-03,                2.62445348E-03,                0.00000000E+00,                1.10935223E+00,
                             1,                             2,                2.00000000E+00,                6.76287132E+00,                9.95033085E-03,                3.18745953E-03,                3.18745953E-03,                0.00000000E+00,                1.10935223E+00,
                             1,                             1,                1.80000000E+00,                6.33528789E+00,                8.95974137E-03,                2.62445348E-03,                2.62445348E-03,                0.00000000E+00,                1.10935223E+00,
                             1,                             1,                2.00000000E+00,                6.76287132E+00,                9.95033085E-03,                3.18745953E-03,                3.18745953E-03,                0.00000000E+00,                1.10935223E+00,
                             1,                             2,                1.80000000E+00,                6.33528789E+00,                8.95974137E-03,                2.62445348E-03,                2.62445348E-03,                0.00000000E+00,                1.10935223E+00,
                             1,                             2,                2.00000000E+00,                6.76287132E+00,                9.95033085E-03,                3.18745953E-03,                3.18745953E-03,                0.00000000E+00,                1.10935223E+00,
                             1,                             1,                2.00000000E+00,                6.76287132E+00,                9.95033085E-03,                3.18745953E-03,                3.18745953E-03,                0.00000000E+00,                1.13281081E+00,
                             1,                             1,                2.20000000E+00,                7.15296325E+00,                1.09399400E-02,                3.78697679E-03,                3.78697679E-03,                0.00000000E+00,                1.13281081E+00,
                             1,                             2,                2.00000000E+00,                6.76287132E+00,                9.95033085E-03,                3.18745953E-03,                3.18745953E-03,                0.00000000E+00,                1.13281081E+00,
                             1,                             2,                2.20000000E+00,                7.15296325E+00,                1.09399400E-02,                3.78697679E-03,                3.78697679E-03,                0.00000000E+00,                1.13281081E+00,
                             1,                             1,                2.00000000E+00,                6.76287132E+00,                9.95033085E-03,                3.18745953E-03,                3.18745953E-03,                0.00000000E+00,                1.13281081E+00,
                             1,                             1,                2.20000000E+00,                7.15296325E+00,                1.09399400E-02,                3.78697679E-03,                3.78697679E-03,                0.00000000E+00,                1.13281081E+00,
                             1,                             2,                2.00000000E+00,                6.76287132E+00,                9.95033085E-03,                3.18745953E-03,                3.18745953E-03,                0.00000000E+00,                1.13281081E+00,
                             1,                             2,                2.20000000E+00,                7.15296325E+00,                1.09399400E-02,                3.78697679E-03,                3.78697679E-03,                0.00000000E+00,                1.13281081E+00,
                             1,                             1,                2.20000000E+00,                7.15296325E+00,                1.09399400E-02,                3.78697679E-03,                3.78697679E-03,                0.00000000E+00,                1.15779070E+00,
                             1,                             1,                2.40000000E+00,                7.50909868E+00,                1.19285709E-02,                4.41947219E-03,                4.41947219E-03,                0.00000000E+00,                1.15779070E+00,
                             1,                             2,                2.20000000E+00,                7.15296325E+00,                1.09399400E-02,                3.78697679E-03,                3.78697679E-03,                0.00000000E+00,                1.15779070E+00,
                             1,                             2,                2.40000000E+00,                7.50909868E+00,                1.19285709E-02,                4.41947219E-03,                4.41947219E-03,                0.00000000E+00,                1.15779070E+00,
                             1,                             1,                2.20000000E+00,                7.15296325E+00,                1.09399400E-02,                3.78697679E-03,                3.78697679E-03,                0.00000000E+00,                1.15779070E+00,
                             1,                             1,                2.40000000E+00,                7.50909868E+00,                1.19285709E-02,                4.41947219E-03,                4.41947219E-03,                0.00000000E+00,                1.15779070E+00,
                             1,                             2,                2.20000000E+00,                7.15296325E+00,                1.09399400E-02,                3.78697679E-03,                3.78697679E-03,                0.00000000E+00,                1.15779070E+00,
                             1,                             2,                2.40000000E+00,                7.50909868E+00,                1.19285709E-02,                4.41947219E-03,                4.41947219E-03,                0.00000000E+00,                1.15779070E+00,
