                    Element nb,             Integration Point,                          Time,                        Stress,                  Total Strain,                Plastic Strain,     Equivalent Plastic Strain,                   Back Stress,                  Yield Stress,
                             1,                             1,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             2,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             1,                0.00000000E+00,                9.99950003E-02,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             2,                0.00000000E+00,                9.99950003E-02,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             1,                1.00000000E-01,                1.99980003E-01,                9.99950003E-05,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             2,                1.00000000E-01,                1.99980003E-01,                9.99950003E-05,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             1,                1.00000000E-01,                2.00040006E-01,                9.99950003E-05,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             2,                1.00000000E-01,                2.00040006E-01,                9.99950003E-05,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             1,                2.00000000E-01,                3.00075004E-01,                2.00040006E-04,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             2,                2.00000000E-01,                3.00075004E-01,                2.00040006E-04,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             1,                2.00000000E-01,                3.00090039E-01,                2.00040006E-04,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             2,                2.00000000E-01,                3.00090039E-01,                2.00040006E-04,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             1,                3.00000000E-01,                4.00130063E-01,                3.00090039E-04,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             2,                3.00000000E-01,                4.00130063E-01,                3.00090039E-04,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             1,                3.00000000E-01,                4.00160093E-01,                3.00090039E-04,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             2,                3.00000000E-01,                4.00160093E-01,                3.00090039E-04,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             1,                4.00000000E-01,                5.00220134E-01,                4.00160093E-04,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             2,                4.00000000E-01,                5.00220134E-01,                4.00160093E-04,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             1,                4.00000000E-01,                5.00250185E-01,                4.00160093E-04,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             2,                4.00000000E-01,                5.00250185E-01,                4.00160093E-04,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
                             1,                             1,                5.00000000E-01,                6.00330259E-01,                5.00250185E-04,                0.00000000E+00,                0.00000000E+00,                0.00000000E+00,                1.00000000E+00,
